?2147467259	지정되지 않은 에러.
?120000	이 익스프레스 VI를 열려면 SignalExpress가 필요합니다. SignalExpress를 설치하거나 www.ni.com/signalexpress에서 평가판을 다운로드하십시오.
?4850	디바이스 드라이버가 존재하지 않거나 지원하지 않습니다. 입력 포트와 출력 포트 VI를 실행하는데 필요한 디바이스 드라이버가 없습니다. LabVIEW는 Windows Vista 또는 이후 버전에서 이 디바이스를 지원하지 않습니다.
?4824	[-1.0, 1.0] 범위를 맞추기 위해 잘려진 부동소수 데이터. 부동소수 데이터가 [-1.0, 1.0] 범위의 밖에 있었습니다. 값은 이 범위 안에 맞도록 잘렸습니다.
?4820	버퍼 언더플로우가 발생하였습니다. 어플리케이션이 데이터를 쓰는 속도가 빠르지 않아 버퍼 언더플로우가 발생하였습니다.
?4803	사운드 드라이버 또는 카드가 지정한 작업을 지원하지 않습니다. 사운드 드라이버 또는 카드가 지정된 설정과 호환되지 않습니다. 파라미터 값이 하드웨어 및 드라이버의 지원 범위 내에 있는지 확인합니다.
?4407	LabVIEW가 팔레트 아이템을 찾을 수 없습니다. LabVIEW가 팔레트 아이템을 찾을 수 없습니다. 아이템 배열에 있는 각 아이템의 경로를 확인하십시오. 파일이 이동 또는 삭제되었거나, 경로가 OS에 맞지 않게 포맷되었을 수 있습니다. 예를 들면, 경로 분리자로서 Windows에서는 \, OS X(32비트)에서는 :, Linux와 OS X(64비트)에서는 /를 사용합니다.
?4406	이 LabVIEW 버전에서 지원하지 않는 VI 아이템이 팔레트 데이터 배열에 있습니다. 이 LabVIEW 버전에서 지원하지 않는 VI 아이템이 팔레트 데이터 배열에 있습니다. 이 에러는 LabVIEW 런타임 엔진에서 지원되지 않는 VI를 사용하는 경우에 발생할 수 있습니다.
?4404	팔레트 폭에 대한 값이 유효하지 않습니다. 팔레트 폭의 값은 0보다 크거나 같아야 합니다.
?4403	유효하지 않은 팔레트 아이템이 있습니다. 유효하지 않은 팔레트 아이템이 있습니다. 아이템 배열에 있는 각 아이템의 경로를 확인하십시오. VI와 팔레트 파일(.mnu)에 대한 경로가 유효해야 합니다.
?4402	팔레트 보기 포맷이 유효하지 않습니다. 팔레트 보기 포맷은 아이콘, 아이콘과 텍스트, 또는 텍스트가 되어야 합니다. 컨트롤 또는 함수 팔레트에서 사용자 정의≫이 팔레트 보기를 선택하여 팔레트 보기 포맷을 변경합니다.
?4401	지정한 파일이 유효한 팔레트 파일(.mnu)이 아닙니다. 지정한 파일이 유효한 팔레트 파일(.mnu)이 아닙니다. 기존 팔레트 파일에 대한 경로를 입력하여 팔레트 파일로부터 데이터를 읽습니다. 유효한 팔레트 파일에 대한 경로를 입력하여 파일에 데이터를 씁니다.
?4400	팔레트 타입이 유효하지 않습니다. 팔레트 타입 입력이 유효하지 않습니다. 팔레트 타입 값이 컨트롤 또는 함수의 열거형 값을 갖고 있습니다. 제공한 값이 정의된 범위를 벗어났습니다.
?2584	DIAdem을 시작할 수 없습니다. DIAdem 리포트 익스프레스 VI를 사용하려면 반드시 DIAdem 9.1 Service Pack 2나 이후 버전이 설치되어 있어야 합니다.
?2580	[측정 파일에 쓰기] 익스프레스 VI는 새로운 데이터를 주파수 영역 웨이브폼에 추가할 수 없습니다. 주파수 영역 웨이브폼은 기본 주파수 f0 와 델타 주파수 df 로 구성되어 있습니다. 그러므로, 데이터 포인트의 주파수는 f0+N*df 로 계산됩니다. 이 계산은 데이터가 웨이브폼에 추가된 경우에는 많은 에러를 유발합니다. 부분 헤더를 하나의 헤더만으로 설정한 후 주파수 영역 웨이브폼을 파일에 쓸 때 이 에러가 발생할 수 있습니다. 부분 헤더를 부분마다 하나의 헤더로 설정하여 이 에러를 수정합니다.
1	입력 파라미터가 유효하지 않습니다. 예를 들어 입력이 경로이면 경로에는 ? 또는 @와 같이 OS에 의해 허용되지 않은 문자가 있을 수 있습니다. 파일 I/O VI를 실행하려고 시도하는 동안 이 에러가 발생했다면, 더 자세한 정보는 ni.com에서 기술지원 데이터베이스를 참조하십시오.
2	메모리가 꽉 찼습니다 큰 어플리케이션을 개발하거나 LabVIEW에서 큰 데이터 세트를 저장하는 동안 이 에러가 발생했다면, 더 자세한 정보는 ni.com에서 기술지원 데이터베이스를 참조하십시오.
4	파일 끝입니다.
5	파일이 이미 열려 있습니다.
6	일반 파일 I/O 에러. 이 에러의 가능한 원인은 저장하려는 디스크나 하드 드라이브가 꽉 찼다는 것입니다. 디스크 공간을 비우거나 다른 디스크나 드라이브에 저장하십시오. 네트워크 연결이 좋지 않아서 이 에러가 발생할 수 있습니다. 예를 들어, 네트워크 연결이 끊겼거나 네트워크 케이블이 꽂혀있지 않을 수도 있습니다.
7	파일을 찾을 수 없습니다. 파일이 다른 위치에 있거나 삭제되었습니다. 명령 입력요청이나 파일 탐색기를 사용하여 경로가 올바른지 확인합니다. 네트워크 연결이 좋지 않아서 이 에러가 발생할 수 있습니다. 예를 들어, 네트워크 연결이 끊겼거나 네트워크 케이블이 꽂혀있지 않을 수도 있습니다.
8	파일 권한 에러. 파일에 대해 올바른 권한이 없습니다. 에러를 수정하려면 다른 어플리케이션이 파일을 사용하고 있지 않으며 파일 권한이 바르게 설정되었는지 확인하십시오. Windows의 경우, 파일을 탐색하고, 파일에서 마우스 오른쪽 버튼을 클릭한 다음, 프로퍼티를 선택하고 대화 상자에서 읽기 전용 옵션을 설정하십시오. Linux 또는 Mac OS X의 경우, chmod를 사용하여 파일 권한을 설정하십시오. 읽기 접근만 필요하다면, 접근 입력이 읽기 전용으로 설정된 상태에서 [파일 열기/생성/대체] 함수를 사용할 수 있습니다. Report Generation toolkit 1.1.2 또는 이후 버전을 사용하여 LabVIEW 8.5 또는 이후 버전의 실행 파일을 만드려고 시도하는 동안 이 에러가 발생했다면, 더 자세한 정보는 ni.com에서 기술지원 데이터베이스를 참조하십시오.
9	디스크가 꽉참. 디스크 또는 하드 드라이브는 작업을 완료하는데 충분한 공간을 가지고 있지 않습니다. 디스크 공간을 비우거나 다른 디스크나 드라이브에 저장하십시오.
10	복사된 경로. LabVIEW에서 어플리케이션을 빌드하는 동안 이 에러가 발생했다면, 더 자세한 정보는 ni.com에서 기술지원 데이터베이스를 참조하십시오. 파일 I/O 또는 VI를 사용하는 동안 이 에러가 발생했다면, 기존 파일 또는 폴더를 덮어 쓰려고 시도하는 중일 수 있습니다. 파일 또는 폴더 덮어쓰기에 대한 더 자세한 정보는 LabVIEW 도움말에서 특정 함수 또는 VI에 대한 참조 토픽을 참조하십시오.
11	너무 많은 파일이 열려 있습니다.
12	작동을 위해 필요한 일부 시스템 용량이 활성화되어 있지 않습니다.
13	찾을 수 없는 외부 기호나 의존성 때문에 또는 유효하지 않은 파일 포맷 때문에 다이나믹 라이브러리를 로드하는데 실패했습니다.
14	리소스 추가 불가.
15	리소스를 찾을 수 없습니다. 이 에러는 독립 어플리케이션을 만들 때 VI의 프런트패널을 삭제한 경우 발생할 수 있습니다.
16	이미지를 찾을 수 없습니다.
17	이미지를 다루기 위한 메모리가 충분하지 않습니다.
18	펜은 존재하지 않습니다.
19	설정 타입이 유효하지 않습니다.
20	토큰 설정을 찾을 수 없습니다.
21	설정 문자열을 분석할 때 발생한 에러.
22	메모리 설정 에러.
23	적절치 않은 외부 코드 포맷.
24	외부 서브루틴이 지원되지 않습니다.
25	외부 코드가 없습니다.
26	널 윈도우.
27	윈도우 에러 제거.
28	널 메뉴. 탈착 가능한 디바이스를 다시 연결한 경우, 이 디바이스를 다시 사용하려면 LabVIEW를 다시 시작해야할 수도 있습니다.
29	인쇄 강제 종료.
30	적절치 않은 인쇄 레코드.
31	인쇄 드라이버 에러.
32	인쇄하는 동안 발생하는 OS 에러.
33	인쇄 중 메모리 에러.
34	인쇄 대화 상자 에러.
35	일반 인쇄 에러.
36	유효하지 않은 디바이스 참조 번호.
37	디바이스를 찾을 수 없습니다.
38	디바이스 파라미터 에러.
39	디바이스 단위 에러.
40	디바이스 열기 불가.
41	디바이스 호출 강제 종료.
42	일반 에러.
43	사용자에 의해 작업이 취소되었습니다. 이 에러가 발생한 VI 또는 함수가 에러 출력 파라미터를 갖는 경우, 에러 출력을 케이스 구조의 선택자 터미널에 연결하여 이 에러 메시지가 생기지 않도록 방지합니다. [파일 열기/생성/대체] 함수 또는 [데이터로그 열기/생성/대체] 함수를 사용하는 경우, 대신에 취소됨을 케이스 구조의 선택자 터미널에 연결할 수 있습니다. VI 또는 함수가 에러 출력을 갖고 있지 않은 경우, VI 또는 함수 내의 에러 핸들링을 편집하여 이 에러를 방지할 수 있습니다. VI 또는 함수에서 더블 클릭하고, 일반 에러 핸들링을 에러 출력 인디케이터 또는 다른 형식의 에러 핸들링으로 대체합니다. 새 VI 또는 함수를 vi.lib가 아닌 다른 디렉토리에 저장하여, 원본을 덮어쓰지 않도록 주의합니다.
44	객체 ID 가 너무 낮습니다.
45	객체 ID 가 너무 높습니다.
46	객체가 히프에 없습니다.
47	알수없는 히프.
48	알수없는 객체 (유효하지 않은 DefProc).
49	알수없는 객체 (DefProc 가 테이블에 없습니다).
50	메시지가 범위를 벗어납니다.
51	널 메소드.
52	알 수 없는 메시지.
67	인터어플리케이션 관리자 초기화 에러.
68	적절치 않은 어커런스.
69	핸들러가 어떤 어커런스를 기다려야 할 것인지 알지 못합니다.
70	어커런스 큐 오버플로우.
71	파일 데이터로그 타입 충돌.
72	세마포어 신호가 없음.
73	인터어플리케이션 관리자가 알아차리지 못하는 타입 에러.
74	메모리나 데이터 구조 충돌.
75	임시 DLL 만들기 실패.
81	포맷 지정자 타입이 일치하지 않습니다. 포맷 지정자가 [문자열로 포맷]이나 [문자열로부터 스캔] 함수에 상응하는 인수에 데이터 타입과 일치하지 않습니다.
82	알 수 없는 포맷 지정자. 적절하지 못한 포맷 지정자가 [문자열로 포맷]이나 [문자열로부터 스캔] 함수로의 포맷 문자열에서 발견되었습니다.
83	너무 적은 포맷 지정자. [문자열로 포맷]이나 [문자열로부터 스캔] 함수의 모든 인수와 일치하는 포맷 지정자가 충분하지 않습니다.
84	너무 많은 포맷 지정자. [문자열로 포맷]이나 [문자열로부터 스캔] 함수의 인수의 개수보다 더 많은 포맷 지정자가 있습니다.
85	스캔을 실패하였습니다 입력 문자열이 예상된 포맷으로 데이터를 가지고 있지 않습니다. [문자열로부터 스캔] 함수는 그 입력을 스캔할 수 없었는데, 왜냐하면 데이터가 기대했던 포맷이 아니었기 때문입니다. [문자열로부터 스캔] 함수에서 마우스 오른쪽 버튼을 클릭하고t 포맷 문자열 편집을 선택하여 입력 데이터에 맞는 포맷 문자열을 설정하십시오. 또한 파일로부터 스캔 또는 문자열로부터 스캔 함수가 파일의 끝에 도달할 경우, 이 에러가 발생할 수 있습니다. 이러한 사용의 경우에 대한 더 자세한 정보는 ni.com의 기술지원 데이터베이스를 참조하십시오.
87	배리언트로 변환 에러. LabVIEW 타입에서 OLE 배리언트 타입으로 변환하는데 발생한 에러입니다.
88	런타임 메뉴 에러.
89	다른 사용자에 의해 VI 암호가 바뀌었다.(@@)
90	배리언트 속성을 찾을 수 없습니다.
91	배리언트의 데이터 타입이 타입 입력에 연결된 데이터 타입과 호환하지 않습니다.
97	널 또는 이미 삭제된 참조 번호가 입력으로 전달되었습니다.
98	맞지 않는 파일 타입. 작동과 호환되지 않는 타입의 파일로부터 읽으려고 시도하거나 파일로 쓰려고 시도했습니다. 이 파일은 일반적으로 사용자 데이터 파일입니다.
99	맞지 않는 파일 버전. 쓰거나 읽는 함수 버전과 호환되지 않는 버전의 파일로부터 읽거나 그 파일에 쓰려고 시도했습니다. 이 파일은 일반적으로 사용자 데이터 파일입니다.
100	파일은 잘못된 데이터를 가지고 있습니다. 이 파일은 일반적으로 사용자 데이터 파일입니다.
116	충돌이 일어나거나, 예상치 못하거나, 잘려나간 데이터때문에 패턴화 해제나 바이트 스트림 읽기 동작이 실패했습니다.
117	파일 경로가 요구되는 곳에 디렉토리 경로를 제공했습니다. 파일 이름을 가진 파일 경로가 필요하나, 제공된 경로는 디렉토리에 대한 경로입니다.
118	제공된 폴더 경로가 존재하지 않습니다.
122	열고자 하는 리소스가 좀 더 최신 버전의 LabVIEW에서 생성되어 이 버전과 호환되지 않습니다.
123	타임아웃이 발생했습니다.
124	문자열에 예상하지 않은 널 문자가 포함되어 있습니다.
125	스택 오버플로우가 발생했습니다. 이 에러를 수정하려면, LabVIEW를 다시 시작해서 재귀 데이터 구조가 없는지 코드를 검토하십시오.
1000	VI가 이 작업에 호환되는 상태에 있지 않습니다. 여러 이유로 인해 이 에러가 발생할 수 있습니다. 실행 중이거나 실행하려고 예약된 VI를 편집하려고 시도할 때 이 에러가 발생할 수 있습니다. 실행 중이거나 실행하려고 예약된 VI에 대한 참조를 열려고 시도할 때 이 에러가 발생할 수 있습니다. [VI 참조 열기] 함수에 타입 지정자 VI 참조 번호를 연결하여 VI에 대한 참조를 열 때, 또는 실행 VI 안에서 VI에 링크된 [정적 VI 참조]를 가질 때 VI는 실행이 예약됩니다. 또한 타겟 VI가 실행 중에 있거나 실행하려고 예정되어 있는 동안 VI를 실행하는 경우, 이 에러가 발생할 수 있습니다. 이 에러를 수정하려면, 타겟 VI가 유휴 상태이거나 재호출이 가능한지 확인합니다. 재호출이 가능한 경우, 옵션입력을 0x08로 설정하여 VI 재호출 실행을 준비한 상태 혹은 엄격한 타입의 VI 참조에 타입 지정자 VI 참조 번호를 연결한 상태에서 [VI 참조 열기] 함수를 사용합니다. 또한 이 에러는 VI가 프로그램적으로 수정되는 동안 VI의 이미지를 얻으려고 시도할 때 발생할 수 있습니다. 패널이나 다이어그램의 이미지를 얻으려면 VI가 변경 중이 아닐 때까지 기다립니다.
1001	VI 프런트패널이 열려있지 않습니다. 윈도우 모양 페이지를 사용하여 VI가 실행 중이거나 로드된 상태에서 프런트패널이 보이는지 설정하십시오. 또한 프런트패널:열기 메소드를 사용하여 프로그램적으로 프런트패널 윈도우를 열 수 있습니다.
1002	VI가 에러 상태에서 프런트패널 컨트롤을 가지고 있기 때문에 이 VI는 실행할 수 없습니다.
1003	VI는 실행 가능하지 않습니다. 이 에러는 VI가 깨졌거나 LabVIEW가 찾을 수 없는 SubVI가 포함되어 있기 때문에 발생할 수 있습니다. 파일≫열기를 선택하여 이 VI를 열어 실행할 수 있는지 확인합니다. 다음 중 하나의 상황에서 이 에러가 발생했을 경우, ni.com에서 기술지원 데이터베이스를 참조하십시오: VI 서버를 사용하여 다이나믹하게 VI 호출하기 또는 어플리케이션 빌드하기.
1004	VI가 메모리에 없습니다.
1005	VI 실행이 VI 프로퍼티 대화 상자에서 비활성화되었습니다. VI 프로퍼티 대화 상자의 실행 페이지를 열고 VI 실행에 대한 셋팅을 변경하십시오.
1006	커넥터 팬에서 FPDCO는 상수라고 생각합니다.
1007	요약된 IP 기록이 없습니다.
1008	커넥터 팬을 로드할 수 없습니다.
1009	범위를 벗어나는 배리언트 태그.
1010	기본값이 없거나 데이터를 수행하지 않습니다.
1011	VI 생성이 실패했습니다.
1012	블록다이어그램을 로드할 수 없습니다.
1013	프런트패널을 로드할 수 없습니다. 독립 어플리케이션을 만들 때 VI의 프런트패널을 포함하도록 확인합니다.
1014	링크 에러.
1015	프린터가 응답하지 않습니다. 프린터 설정을 확인합니다.
1016	히스토리를 로드할 수 없습니다.
1017	VI를 최근에 로드하고 저장한 이 후 이 VI를 디스크에서 변경하지 않았습니다.
1018	지정되지 않은 에러가 발생했습니다.
1019	하나 혹은 그 이상의 제목없는 SubVI가 있습니다. 모든 종속 파일의 이름을 만들기 전에는 이 파일을 저장할 수 없습니다.
1022	마법사 템플릿을 찾을 수 없습니다.
1023	마법사 템플릿이 다이어그램을 가지고 있지 않습니다.
1024	인스트루먼트 호출이 강제 종료되었습니다.
1025	어플리케이션 참조가 유효하지 않습니다.
1026	VI 참조가 유효하지 않습니다.
1027	요청된 작업에서, 참조가 요청된데로 예약될 수 없거나, 적절치 못한 예약 모드이거나, 실행 상태가 실행중이거나 예약되었습니다.
1028	속성 선택자가 유효하지 않습니다.
1029	VI 서버 프로퍼티가 읽기 전용입니다.
1030	VI 참조는 이미 편집을 위해 예약되어 있습니다.
1031	VI 참조 타입이 VI 커넥터 팬과 일치하지 않습니다.
1032	VI 서버 접근이 거부되었습니다. 이 에러가 원격 연결 상태의 VI 참조 열기 함수에서 반환되었다면, 옵션 대화 상자의 VI 서버 페이지를 사용하여 VI가 반출되었는지 확인하십시오. 이 에러가 프로퍼티 또는 인보크 노드에서 반환되었다면, 프로퍼티나 메소드가 원격 VI 서버 연결이 허용되지 않았을 수도 있습니다. 예를 들어, 로컬에서 어플리케이션:메모리 상의 모든 VI 프로퍼티를 사용할 수 있지만, 대신 원격에서는 어플리케이션:메모리 상의 VI 반출 프로퍼티를 사용해야 합니다. 프로퍼티 또는 메소드 도움말을 참고하여 원격에서 사용 가능한지 확인하십시오.
1033	적절치 않은 런타임 메뉴 파일 버전.
1034	적절치 않은 런타임 메뉴 파일.
1035	수행이 VI의 이 타입에 대해 유효하지 않습니다.
1036	메소드 선택자가 유효하지 않습니다.
1037	호환될 수 없는 VI 서버 프로토콜 버전.
1038	요구된 파라미터를 찾을 수 없습니다.
1039	VI가 강제 종료되었습니다.
1040	VI는 암호로 보호되어 있습니다.
1041	맞지 않는 암호.
1042	재귀 호출을 시도했습니다.
1043	프로퍼티 혹은 메소드가 LabVIEW의 이 버전에서 지원되지 않습니다. 이 에러는 LabVIEW 런타임 엔진에서 지원되지 않는 프로퍼티 또는 메소드를 사용했을 경우 발생할 수 있습니다.
1044	VI가 잠겨 있습니다.
1045	참조 닫기에 전달된 널 참조 번호.
1051	이 이름의 LabVIEW 파일이 메모리에 이미 존재하거나 또는 메모리에 있는 프로젝트 라이브러리 내에 존재합니다. 이 에러를 해결하려면, 파일의 이름을 어플리케이션 인스턴스에 없는 유일한 이름으로 지정합니다.
1052	LabVIEW 파일 이름이 유효하지 않습니다.
1054	지정된 객체가 발견되지 않았습니다.
1055	객체 참조가 유효하지 않습니다.
1056	지정된 객체가 이 버전에서 쓰일 수 없습니다.
1057	타입 불일치: 객체가 지정된 타입으로 캐스트될 수 없습니다.
1058	지정된 프로퍼티를 찾을 수 없습니다.
1059	예상하지 않은 파일 타입.
1060	객체는 지정된 객체를 가질 수 없습니다.
1061	새로운 객체를 생성할 수 없습니다.
1062	지정된 객체들이 함께 연결될 수 없습니다.
1063	지정된 터미널이 객체에서 발견되지 않습니다.
1066	하드웨어 열기 에러.
1067	하드웨어 닫기 에러.
1068	하드웨어 수행 에러.
1069	하드웨어 DLL을 찾을 수 없음.
1070	하드웨어의 세션 에러가 없음.
1071	LabVIEW가 지정한 메소드를 찾을 수 없습니다.
1072	이 프로퍼티나 메소드가 아직 실행되지 않습니다.
1073	이 VI가 편집 모드에 있을 때만 이 프로퍼티를 쓸 수 있거나, 이 VI가 편집 모드에 있을 때만 이 메소드를 사용할 수 있습니다. 이 에러에 대한 추가적인 정보는 기술지원 데이터베이스를 참조하십시오.
1074	지정된 터미널에서 컨트롤/인디케이터를 생성할 수 없습니다.
1075	지정된 터미널에서 상수를 생성할 수 없습니다.
1076	VI는 디버깅할 수 없습니다.
1077	유효하지 않은 프로퍼티 값.
1082	엄격한 타입 정의 인스턴스에서 수행이 유효하지 않습니다.
1086	잘못된 컨트롤 타입. 이 종류의 컨트롤이나 이 레벨의 컨트롤에서 수행이 허용되지 않습니다.
1087	객체에 대해 사용할 수 있는 DataSocket 정보가 없습니다.
1088	파라미터에 대한 잘못된 값.
1089	스크립트를 실행하는 동안 발생한 에러. 서버로부터 에러 메시지: %s.
1090	지정된 객체를 움직일 수 없습니다.
1091	VI 서버나 클라이언트가 인식하지 못하는 메시지를 받았습니다.
1094	같은 이름의 큐와 알림자 참조는 같은 데이터 타입을 사용하여 얻어져야 합니다. 큐나 알림자에 대한 참조를 얻을 때, 어느 데이터 타입으로 이 메커니즘을 저장할지 지정할 수 있습니다. 동일한 메커니즘에 대한 참조를 얻기 위한 미래의 요청을 원래 지정한 데이터 타입과 같은 데이터 타입에 연결하지 않았을 때 이 에러가 발생할 수 있습니다. 이름 없는 메커니즘은 이러한 제한을 가지고 있지 않은데, 그 이유는 이름 없는 메커니즘을 얻으려는 각 요청이 새로운 메커니즘을 생성하기 때문입니다. 이 에러를 방지하는 것에 대한 더 자세한 정보는 ni.com의 기술지원 데이터베이스를 참조하십시오.
1095	이 컨테이너는 서브타입 없이 남겨질 수 없습니다. 컨테이너 경계에서 마우스 오른쪽 버튼을 클릭하고 대체를 선택하거나 새 서브타입을 끌어 옵니다.
1096	[VI 참조 열기] 함수는 재호출 실행을 위해 재호출되지 않는 VI를 준비할 수 없습니다. [VI 참조 열기] 함수에 연결한 값을 확인합니다.
1097	[라이브러리 함수 호출 노드]에 의해 호출된 외부 코드 안에서 예외가 발생했습니다. 이 같은 예외로 LabVIEW 메모리가 손상했을 수 있습니다. 새 위치에 모든 작업을 저장하고 LabVIEW를 다시 시작합니다. [라이브러리 함수 호출 노드]에 연결한 값을 확인합니다.
1098	블록다이어그램을 이용할 수 없다면 타입 정의나 다형성 VI로의 연결을 끊을 수 없습니다.
1100	해당 이름의 객체를 찾을 수 없었습니다. 어떤 참조도 반환될 수 없습니다. [큐 얻기] 함수나 [알림자 얻기] 함수를 사용하여 이름으로 큐나 알림자를 찾을 수 있습니다. 발견되지 않으면 생성?이 거짓이고 그 이름을 가진 큐나 알림자가 발견되지 않으면, LabVIEW는 이 에러를 반환합니다.
1102	xml 문자열 입력에 연결된 문자열이 비어 있습니다.
1103	데이터의 타입을 설명하는 XML 태그가 인식되어 있지 않습니다.
1104	XML 시작/끝 태그에 대해 끝 태그가 발견되지 않았습니다.
1105	알려져 있지 않거나 기대하지 않던 XML 태그가 발견되었습니다.
1106	데이터의 타입을 설명하는 XML 태그는 연결된 타입과 일치하지 않습니다.
1107	XML 열거형 타입 선택은 연결된 타입과 일치하지 않습니다.
1108	XML 값 텍스트는 적절하지 않거나 타입과 포맷을 위한 범위에서 벗어납니다.
1109	지원받지 않는 데이터 타입.
1110	더 이상 사용되지 않습니다.
1111	[세마포어 해제]가 현재 얻지 못한 세마포어를 호출했습니다.
1122	참조 번호는 노드가 그것을 기다리는 동안 유효하지 않게 되었습니다.
1123	빌드 어플리케이션에서 컨트롤 캡션과 같은 객체를 생성할 수 없습니다. LabVIEW 개발 시스템에서 이 객체를 생성해야 합니다.
1124	VI는 로드할 수 없습니다. 로드 중인 VI가 다른 OS에 대해 컴파일되었거나, SSE와 같이 타겟이 지원하지 않는 CPU 구성 요소와 함께 마지막으로 컴파일되었을 경우 빌드된 어플리케이션에서 이러한 에러가 일어날 수 있습니다. 이러한 경우에는 어플리케이션을 타겟 OS에 대해 다시 빌드하고 빌드 스펙의 SSE 컴파일러 셋팅이 타겟 플랫폼과 일치하도록 해야 합니다. 이 에러는 VI가 LabVIEW 런타임 엔진에서 로드될 수 없는 다형성 VI인 경우에 나타날 수 있습니다. 다형성 VI 자체가 아니라 다형성 VI의 인스턴스를 로드해야 합니다.
1125	파일 버전이 현재 LabVIEW 버전보다 더 나중의 것입니다.
1126	VI 버전이 너무 오래되어 현재 LabVIEW 버전으로 변환할 수 없습니다. 현재 LabVIEW 버전으로 VI를 변환하는 방법에 대한 추가적인 정보는 LabVIEW 도움말에서 VI 변환하기 토픽을 참조하십시오.
1127	템플릿 VI가 이미 메모리에 있으므로 그것을 예를 들어 설명할 수 없습니다.
1128	입력 단위가 현재 단위와 호환되지 않습니다.
1129	링 컨트롤에서 두 개 이상의 문자열에 같은 숫자형 값을 할당할 수 없습니다. 또한 콤보 박스 컨트롤에서 두 개 이상의 문자열에 같은 문자열 값을 할당할 수 없습니다. 컨트롤의 문자열과 값[] 프로퍼티에 쓰려고 시도하는 도중 이 에러가 발생했다면, 더 자세한 정보는 ni.com의 KnowledgeBase 를 참조하십시오.
1130	VI 서버의 연결 피어가 응답하지 않습니다. 연결 폴링에 대한 추가적인 정보는 LabVIEW 도움말의 연결 응답: 확인 메소드 토픽을 참조하십시오.
1131	이 시스템 컨트롤로 이 프로퍼티를 사용할 수 없습니다.
1135	트리 컨트롤의 활성화 아이템이 이 프로퍼티에서 유효하지 않습니다.
1136	유효하지 않은 아이템 태그를 트리 컨트롤 프로퍼티나 메소드에 연결했습니다.
1137	트리 컨트롤의 내적인 데이터가 손상되어 있습니다.
1138	LabVIEW가 호출한 외부 코드 내에서 예외가 발생했습니다. 이로 인해 LabVIEW 메모리가 손상했을 수 있습니다. 새 위치에 모든 작업을 저장하고 LabVIEW를 다시 시작합니다.
1144	VI가 이미 열려 있으므로 서브패널 컨트롤에 VI를 삽입할 수 없습니다.
1145	VI가 이미 서브패널 컨트롤에 있으므로 VI를 열 수 없습니다.
1146	하위 전용 아이템을 상위 아이템으로 변경하는 작업을 시도했습니다.
1147	서브패널 컨트롤에서 원격 VI를 삽입할 수 없습니다.
1148	이 프로퍼티는 VI가 서브패널에 있는 동안 읽기 전용입니다.
1149	닫힌 프런트패널의 상태를 닫거나 설정할 수 없습니다. 프런트패널을 닫거나 그 상태를 설정하기 전에 프런트패널이 이미 열려 있어야 합니다.
1150	이미 열려 있는 프런트패널을 열 수 없습니다. 열린 프런트패널의 상태를 설정하려면 프런트패널 윈도우:상태 프로퍼티를 사용합니다.
1151	프런트패널 상태에 대해 유효하지 않은 입력.
